# author : dbogavac@cern.ch (please report any problems)
# date: 04/04/2016 
# format : datasetID   finalState   XS(pb)   K-factor   filterEff   relUncertainty
373350     4     0.2307170033454895         1     1     0.141148537397
373351     4     0.2307170033454895         1     1     0.141148537397
373352     4     0.2307170033454895         1     1     0.141148537397
373353     4     0.2307170033454895         1     1     0.141148537397
373354     4     0.04995127394795418        1     1     0.16219522059
373355     4     0.04995127394795418        1     1     0.16219522059
373356     4     0.04995127394795418        1     1     0.16219522059
373357     4     0.04995127394795418        1     1     0.16219522059
373358     4     0.013027645647525787       1     1     0.184017181396
373359     4     0.013027645647525787       1     1     0.184017181396
373360     4     0.013027645647525787       1     1     0.184017181396
373361     4     0.013027645647525787       1     1     0.184017181396
373362     4     0.00377044640481472        1     1     0.22181609273
373363     4     0.00377044640481472        1     1     0.22181609273
373364     4     0.00377044640481472        1     1     0.22181609273
373365     4     0.00377044640481472        1     1     0.22181609273
373366     4     0.0011864259140565991      1     1     0.26860755682
373367     4     0.0011864259140565991      1     1     0.26860755682
373368     4     0.0011864259140565991      1     1     0.26860755682
373369     4     0.0011864259140565991      1     1     0.26860755682
373370     4     0.00039507634937763214     1     1     0.315065860748
373371     4     0.00039507634937763214     1     1     0.315065860748
373372     4     0.00039507634937763214     1     1     0.315065860748
373373     4     0.00039507634937763214     1     1     0.315065860748
373374     4     0.0001370550598949194      1     1     0.371135592461
373375     4     0.0001370550598949194      1     1     0.371135592461
373376     4     0.0001370550598949194      1     1     0.371135592461
373377     4     0.0001370550598949194      1     1     0.371135592461
