# date: Jan 25 2017
## format : datasetID   finalState   XS(pb)   K-factor   filterEff    relUncertainty
373840  2	 0.0141714504	1.0000	1.0000	0.228925
373841  2	 0.0016337908	1.0000	1.0000	0.300377
373842  2	 0.0005919180	1.0000	1.0000	0.339326
373844  2	 0.0016337908	1.0000	1.0000	0.300377
373845  2	 0.0005919180	1.0000	1.0000	0.339326
373846  2	 0.0002190490	1.0000	1.0000	0.385249
373847  2	 0.0080897603	1.0000	1.0000	0.244372
373848  2	 0.0027583649	1.0000	1.0000	0.282458
373849  2	 0.0009802603	1.0000	1.0000	0.319521
373850  2	 0.0005919180	1.0000	1.0000	0.339326
